shop,category,name,price,url,collection_date
JB Spielwaren,Lego Star Wars,LEGO 75455 Boba Fett™,144.49,https://www.jb-spielwaren.de/en/lego-75455-boba-fett/a-648673936/,2026-07-25
JB Spielwaren,Lego Star Wars,LEGO 75454 Imperial Remnant AT-AT™ with INT-4,135.99,https://www.jb-spielwaren.de/en/lego-75454-imperial-remnant-at-at-with-int-4/a-75454/,2026-07-25
JB Spielwaren,Lego Star Wars,LEGO 75453 Offworld Sandcrawler™ and Mudhorn,169.99,https://www.jb-spielwaren.de/en/lego-75453-offworld-sandcrawler-and-mudhorn/a-75453/,2026-07-25
JB Spielwaren,Lego Star Wars,LEGO 75461 Up-Scaled Darth Vader™ Minifigure,99.99,https://www.jb-spielwaren.de/en/lego-75461-up-scaled-darth-vader-minifigure/a-75461/,2026-07-25
JB Spielwaren,Lego Star Wars,LEGO 75459 Imperial Lambda-Class Shuttle,149.99,https://www.jb-spielwaren.de/en/lego-75459-imperial-lambda-class-shuttle/a-75459/,2026-07-25
JB Spielwaren,Lego Star Wars,LEGO 75458 mperial Remnant AT-RT Driver™ Helmet,69.99,https://www.jb-spielwaren.de/en/lego-75458-mperial-remnant-at-rt-driver-helmet/a-75458/,2026-07-25
JB Spielwaren,Lego Star Wars,LEGO 75456 Advent Calendar 2026,29.74,https://www.jb-spielwaren.de/en/lego-75456-advent-calendar-2026/a-75456/,2026-07-25
JB Spielwaren,Lego Star Wars,LEGO 75451 Hutt Palace Sentry Droid Showdown,42.49,https://www.jb-spielwaren.de/en/lego-75451-hutt-palace-sentry-droid-showdown/a-75451/,2026-07-25
JB Spielwaren,Lego Star Wars,LEGO 75442 The Mandalorian N-1 Starfighter,249.99,https://www.jb-spielwaren.de/en/lego-75442-the-mandalorian-n-1-starfighter/a-75442/,2026-07-25
JB Spielwaren,Lego Star Wars,LEGO 30728 The Razor Crest™ Mini-Build,3.19,https://www.jb-spielwaren.de/en/lego-30728-the-razor-crest-mini-build/a-30728/,2026-07-25
JB Spielwaren,Lego Star Wars,LEGO 75446 Grogu™ (apprenti du Mandalorien),110.49,https://www.jb-spielwaren.de/en/lego-75446-grogu-apprenti-du-mandalorien/a-75446/,2026-07-25
JB Spielwaren,Lego Star Wars,LEGO 75447 The Razor Crest™,127.49,https://www.jb-spielwaren.de/en/lego-75447-the-razor-crest/a-75447/,2026-07-25
JB Spielwaren,Lego Star Wars,LEGO 75445 Anzellan Starship,63.74,https://www.jb-spielwaren.de/en/lego-75445-anzellan-starship/a-75445/,2026-07-25
JB Spielwaren,Lego Star Wars,LEGO 75444 AT-RT™ Attack,38.24,https://www.jb-spielwaren.de/en/lego-75444-at-rt-attack/a-75444/,2026-07-25
JB Spielwaren,Lego Star Wars,LEGO 75438 Yoda™ Bust,31.99,https://www.jb-spielwaren.de/en/lego-75438-yoda-bust/a-75438/,2026-07-25
JB Spielwaren,Lego Star Wars,LEGO 75439 Darth Vader™ Bust,39.99,https://www.jb-spielwaren.de/en/lego-75439-darth-vader-bust/a-75439/,2026-07-25
JB Spielwaren,Lego Friends,LEGO 42698 Advent Calendar 2026,22.94,https://www.jb-spielwaren.de/en/lego-42698-advent-calendar-2026/a-42698/,2026-07-25
